Stages	CYR61	HSPA6	RGS1	BTG2	ATF3	ETV3	PTGS2	EGR4	EGR1	DUSP1	CDKN1A	TRIB1	NR4A3	DUSP5	EGR2	NPAS4	NR4A1	FOS	JUNB	FOSB	PPP1R15A	SIK1	GPR183	NEDD9	SPRY2
Stage_2	5.90513	5.48607	4.04242	7.48644	4.58805	6.99664	3.95485	6.14501	6.14502	8.50138	5.24872	7.63328	5.69177	5.13446	4.85089	4.56846	4.83802	4.75495	5.98555	5.49363	7.79821	6.38587	4.7538	6.29181	8.99295
Stage_2	5.98204	5.99369	3.7072	7.29594	4.2961	6.9475	4.08237	5.66904	6.77019	8.36194	4.84133	7.79456	5.83198	4.97772	4.84167	4.70377	5.29555	4.85074	6.5599	5.34385	7.89129	6.34247	4.57693	7.07837	8.67124
Stage_2	6.496	5.39813	3.98313	7.33491	4.10653	7.15017	3.99932	5.58039	6.86965	8.91783	5.08689	7.96226	6.01898	5.38658	4.39509	4.35112	4.95834	4.81822	6.04026	4.93947	8.33114	7.21434	3.94951	7.10333	9.5737
Stage_2	7.30387	6.37435	3.86242	7.28909	4.64456	7.38878	3.9358	5.40391	6.58992	7.81618	5.42661	7.5056	5.09052	4.70676	4.95814	4.56574	5.2854	5.20185	6.70041	5.57488	7.92655	6.85767	4.33551	6.74976	9.14779
Stage_2	6.70905	5.82118	4.46577	7.10078	5.26206	7.69393	4.30211	6.11724	8.3393	8.1734	5.29242	8.20929	6.38162	5.71015	5.31595	4.3826	5.63381	7.0024	7.36511	5.59828	7.23329	7.70582	5.15872	7.52704	9.20737
Stage_2	6.1064	5.69817	3.97895	7.64823	4.20187	7.7447	4.44116	5.72292	7.10058	8.95616	5.54167	7.53556	6.56314	5.719	4.79837	4.44658	5.33943	6.42379	6.79523	5.57297	6.91778	6.8715	4.7544	7.96546	9.04172
Stage_2	5.48511	5.63102	3.87541	6.64069	4.30149	6.82369	3.71009	5.58016	6.22901	9.17626	5.28865	8.0051	4.94662	4.19993	4.52492	4.32184	5.24095	4.55041	6.12585	5.16463	8.91174	5.95509	4.04638	6.33012	7.10642
Stage_2	5.15523	6.5308	4.22624	7.12388	5.29947	7.23235	4.12029	5.78992	5.8593	8.18922	5.76044	7.72683	4.80372	5.16541	4.93731	4.458	5.47742	4.65334	7.21691	5.42422	8.47243	6.09836	4.89725	6.20645	7.09801
Stage_2	6.4753	5.62635	3.68877	7.36079	4.55117	7.5419	4.10942	5.86949	7.87437	7.75462	7.44612	7.59667	6.22833	5.58695	4.79972	4.3578	5.16165	5.63528	7.02281	5.37066	7.36229	6.58644	4.77372	7.89628	8.43679
Stage_2	6.52789	6.22951	3.90883	7.61644	4.99544	7.89789	4.01526	5.67696	7.77476	7.93743	7.38212	8.2183	5.72611	5.1964	4.96891	4.14835	5.16983	5.12219	6.67751	5.36198	6.59067	6.43857	4.82937	8.72246	9.10292
Stage_2	6.49985	5.61332	4.10384	7.06822	4.18118	7.58941	3.71735	5.12486	6.23649	7.86984	5.29389	8.26068	6.88872	5.17265	4.76473	4.56649	5.6644	4.91589	6.8183	5.2092	7.47873	7.16792	4.50125	7.64267	8.95862
Stage_2	5.7734	6.08571	3.80548	6.90254	4.11789	7.28957	3.89583	5.58626	6.59283	8.39429	5.08698	8.07147	5.60889	5.07309	5.00454	4.30532	5.53868	4.78562	6.79734	5.69403	7.85205	6.96711	4.45474	6.58241	9.41394
Stage_2	6.90821	5.50469	4.19397	7.2462	4.98163	7.12088	4.32079	5.52461	6.13415	8.59347	5.38233	7.66141	5.43884	4.81804	4.77958	4.17084	5.51821	5.11928	7.10523	5.51956	7.50541	6.49209	5.18049	6.4839	9.34053
Stage_2	6.78215	5.88812	3.67708	6.61088	4.49078	7.36686	4.05231	5.5888	6.43383	7.50178	5.35923	7.24102	5.33377	4.68565	4.97699	4.67024	5.45381	5.17385	6.58984	5.72815	7.84139	6.60709	4.46423	6.60088	9.09087
Stage_2	5.41104	6.16877	3.95725	6.80239	4.53653	7.27921	4.0883	5.81286	6.99116	8.35025	5.55042	8.07569	5.79789	6.07619	4.87766	4.50302	5.38921	6.07567	6.61024	5.70837	6.23083	7.28384	5.24858	8.45277	8.68674
Stage_2	5.85194	5.67062	4.04779	7.69417	4.32693	7.77946	4.0535	5.40628	6.73472	8.72594	5.49705	8.27108	6.53761	5.52909	4.77145	4.26276	5.0707	5.88614	6.99656	5.36655	6.11823	6.93913	4.60764	8.38458	8.78297
Stage_2	6.32974	5.79355	4.92386	8.13692	4.73262	7.30196	4.33235	5.99432	5.61066	8.8935	5.51486	7.39186	5.45044	4.46315	5.07816	4.71208	4.88136	4.87382	7.2123	5.34724	7.14125	6.33719	5.29736	7.094	9.28013
Stage_2	7.31655	6.09653	3.86059	6.93209	5.30203	6.99379	4.22342	5.69253	6.7103	7.57492	5.13561	7.56525	5.19375	4.82173	5.06726	4.44776	5.76167	5.26169	6.8151	5.71974	7.39046	6.16385	5.01996	6.73688	8.73147
Stage_2	7.10194	5.55806	4.75244	7.31117	4.7565	7.68285	4.20248	5.70378	7.29602	8.52236	5.05184	8.2517	6.68069	5.44438	4.98998	4.2777	5.44255	5.74653	6.30706	5.40109	7.54723	7.68722	4.34109	7.64127	9.47718
Stage_2	6.84605	5.31208	4.33883	7.47311	4.6807	7.69881	4.08433	6.2019	8.01182	7.82404	5.7207	7.62153	6.17619	5.59576	4.9994	4.48128	5.55314	5.96462	7.16318	5.42145	7.32927	7.68312	4.85063	7.66947	9.18926
Stage_2	7.30324	5.20654	3.75858	7.22813	4.6133	7.6257	4.01416	5.68222	7.2578	8.22859	5.43346	8.18556	6.40589	5.44319	4.84532	4.30611	5.47984	5.55427	6.98699	5.25285	6.589	7.18318	4.55931	8.60999	8.7633
Stage_2	7.84246	5.96794	4.18663	7.21797	4.96734	7.69202	4.03003	5.96398	7.07099	8.40732	5.48511	8.37467	6.14352	5.4034	5.19975	4.47317	5.45276	5.43927	7.19984	5.74736	6.54534	7.12494	4.76184	8.7579	8.9558
Stage_2	6.0123	5.95579	3.94131	8.11083	4.4667	7.3941	4.18443	6.16679	5.43052	9.20842	5.76357	7.56656	5.85901	6.21341	4.64647	4.33501	4.89029	5.57847	7.24805	5.52481	6.57364	7.25252	5.05618	6.4553	9.14517
Stage_2	6.84626	5.79926	3.91178	7.56025	4.5357	7.25237	4.70993	5.98752	6.55523	8.47767	5.9491	7.9919	5.27656	5.4958	4.64669	4.63394	5.43138	5.82696	6.74037	5.52373	6.64729	6.98748	4.84062	6.98605	10.1902
Stage_2	7.25694	5.48877	4.11782	7.12985	4.2181	8.10185	3.65304	5.33864	6.9553	8.27603	5.36051	8.26118	6.29774	5.20139	4.69159	4.26866	5.32111	4.96898	6.31115	5.03036	7.61362	7.62866	4.31332	8.04276	8.79517
Stage_2	7.33503	5.73562	3.79677	6.96084	4.90399	7.85488	3.96304	5.8438	8.05024	8.10991	5.56905	8.18699	6.26606	5.39434	4.94703	4.55937	5.67824	5.64673	6.58955	5.60767	7.23863	7.40531	4.74502	8.32908	8.88525
Stage_2	7.01173	5.38363	3.93229	6.95185	4.2519	7.68804	3.76376	5.83254	6.68631	8.02758	5.5813	8.49874	6.68878	5.45407	4.69442	4.55065	5.29327	5.06657	6.60968	5.24385	7.75732	7.39068	4.03311	7.90445	9.35087
Stage_2	6.55795	5.11265	3.96264	7.15751	4.28556	7.19528	3.84446	5.56141	7.36202	8.126	5.22645	8.04088	5.9448	5.48471	4.79324	4.558	5.30823	5.69823	6.77496	5.29627	7.9947	7.95522	4.52126	6.96717	9.26261
Stage_2	4.7759	5.72388	3.95243	6.88089	4.73552	6.90045	4.36312	5.83827	6.31761	8.02147	5.26321	7.88881	6.89632	4.96103	4.74413	4.68849	5.22761	4.66573	6.57976	5.08742	7.70087	6.98058	4.13932	6.01493	8.93983
Stage_2	4.77213	5.88937	4.00395	6.88382	5.41755	7.18245	3.90769	5.92267	6.20584	7.19998	4.97844	8.99565	5.97611	4.55801	5.0077	4.72202	5.45979	5.23107	6.92947	6.11226	8.45648	6.71139	4.90648	6.26086	9.39184
Stage_2	6.26562	5.33197	4.02558	7.35015	4.44867	7.34808	4.20646	5.4272	7.82677	8.83848	5.29692	8.57677	6.2341	5.71914	4.95401	4.37686	5.07231	5.72126	6.87842	5.35556	7.44812	7.6629	4.61609	7.02824	9.8566
Stage_2	6.65112	5.17682	4.10703	7.78412	4.20173	7.87149	3.98072	5.89932	7.53993	9.36643	5.45223	8.23109	6.17716	6.13925	4.56371	4.49036	5.32666	6.17027	7.24471	5.43194	7.7254	7.42157	4.50332	6.7869	9.69271
Stage_2	8.17649	5.7915	4.70007	7.01564	5.08505	6.99786	3.95328	5.57074	5.9955	8.91528	5.26853	7.80477	5.3739	4.71157	4.74071	4.91444	5.15252	6.09806	6.74717	5.25411	7.53476	6.49841	5.07773	7.53318	9.52935
Stage_2	8.25585	5.8217	5.20594	7.35064	5.00059	7.30558	4.24348	5.59898	6.92268	9.17675	5.3693	7.82522	5.32468	4.8124	4.72794	4.73812	5.24788	6.04043	6.44637	5.36263	7.89111	6.94183	5.81149	7.46658	9.90314
